GEOID10,OA_CntEst,OA_CntEst_n
42045403502,612,520
42045403701,267,411
42045403702,395,261
42045403104,182,456
42045403300,634,688
42045406100,194,383
42045403902,560,1048
42045410500,512,430
42045410700,588,484
42045410800,1411,353
42045409702,119,584
42045403601,430,807
42045406402,220,294
42045403800,807,503
42045403602,254,327
42045402100,680,968
42045403501,558,366
42045408900,450,624
42045408800,636,565
42045408300,732,1167
42045409200,579,812
42045409803,990,743
42045407802,1144,716
42045408700,697,424
42045401104,530,256
42045400600,566,138
42045401600,315,833
42045401301,268,340
42045401302,319,895
42045407804,703,560
42045409500,822,793
42045410000,1248,547
42045402300,382,619
42045403002,385,882
42045402500,268,502
42045403103,260,258
42045403101,352,450
42045402800,610,327
42045410400,1545,690
42045406803,1826,384
42045402200,662,1036
42045406801,608,1139
42045407501,346,1370
42045404500,580,766
42045408101,1356,525
42045409601,926,0
42045408400,785,706
42045407700,421,324
42045409904,705,329
42045407404,623,516
42045406401,303,875
42045406201,686,279
42045404103,547,643
42045407502,454,234
42045407101,805,459
42045408500,637,716
42045404400,276,642
42045401800,369,257
42045401900,624,1041
42045400301,493,321
42045401402,533,737
42045407201,1613,669
42045406903,935,472
42045408102,664,570
42045400402,261,425
42045409400,546,487
42045407401,722,496
42045407102,521,205
42045409000,551,341
42045410200,713,575
42045401103,434,708
42045406500,182,467
42045402900,534,911
42045410100,1119,1558
42045404800,158,798
42045405100,335,647
42045404900,126,765
42045406202,783,516
42045403001,511,397
42045401502,489,266
42045400500,348,161
42045404003,234,948
42045407902,442,356
42045407903,402,427
42045406904,974,712
42045407805,237,626
42045407600,880,463
42045408002,1036,2420
42045408103,859,1082
42045406700,324,794
42045408600,564,1286
42045403200,750,693
42045402400,230,1052
42045401501,427,1100
42045402000,374,666
42045401200,597,422
42045404101,987,766
42045407202,861,366
42045405300,307,1042
42045407801,973,925
42045405000,360,591
42045407901,774,430
42045401401,178,550
42045400401,543,603
42045402600,555,1498
42045401700,314,854
42045409802,611,702
42045406802,727,570
42045409602,322,306
42045400801,156,565
42045403901,562,139
42045409300,320,202
42045405200,426,4
42045407803,798,0
42045404300,210,172
42045400700,685,307
42045400802,462,145
42045405400,217,509
42045400900,257,340
42045401101,401,343
42045401000,216,194
42045403401,346,477
42045404700,350,503
42045409100,559,460
42045402700,234,462
42045409701,873,478
42045400302,226,162
42045403402,321,283
42045406902,1004,113
42045407806,293,311
42045409902,1420,277
42017101803,1629,495
42017104703,652,370
42017100209,921,324
42017100408,840,972
42017105801,661,422
42017105808,464,414
42017105008,605,565
42017101403,822,589
42017100406,764,1249
42017104604,1116,784
42017104601,1042,828
42017100900,1060,859
42045410301,1139,1312
42045409903,866,1090
42045404102,605,1021
42045404600,259,510
42045406300,424,520
42045410302,2996,1135
42045407000,464,1352
42045406600,219,805
42045410601,403,451
42045410602,741,416
42045404004,1052,453
42045408001,1241,668
42017100105,523,1205
42017100212,601,613
42017105004,1054,183
42017103103,951,524
42017105010,669,661
42017101609,903,524
42017104902,1414,285
42017105506,493,253
42017102300,753,339
42017102401,587,420
42017102402,567,217
42017105510,939,370
42017105511,680,337
42017101802,638,497
42017102104,1047,495
42017100808,877,422
42017100805,907,470
42017101611,1825,283
42017105810,436,759
42017102700,1517,422
42017101603,499,547
42017100807,1594,624
42017105600,369,350
42017100804,747,752
42017102004,801,611
42017104400,406,749
42017101900,476,507
42017105300,395,623
42017105202,1178,497
42017101100,255,472
42017105006,972,358
42017101505,939,1925
42017101503,867,1155
42017102102,588,468
42017103102,258,789
42017101506,1065,315
42017101807,495,1030
42017101805,241,387
42017106402,1176,601
42017100304,174,738
42017103800,265,566
42017105003,994,320
42017105011,365,284
42017100811,342,418
42017104100,216,586
42017105400,1523,718
42017101405,868,609
42017100102,529,572
42017100207,1132,293
42017105012,476,867
42017104304,249,801
42017102801,552,347
42017105203,217,893
42017103101,274,379
42017104203,638,590
42017104201,427,280
42017104204,313,894
42017105509,750,251
42017105508,372,366
42017101610,1064,563
42017101504,968,1325
42017103300,433,943
42017105809,619,761
42017100403,346,446
42017100206,592,207
42017101404,497,391
42017105812,259,737
42017105013,975,395
42017101808,472,413
42017106401,935,991
42017105208,265,559
42017105207,517,659
42017106000,549,360
42017106100,605,424
42017106200,3098,703
42017100500,503,303
42017100303,785,612
42017100809,824,728
42017104303,906,498
42017104506,413,726
42017104503,667,773
42017104505,583,967
42017104301,604,456
42017103400,998,920
42017100208,734,654
42017100210,1084,369
42017100402,759,547
42017105704,746,376
42017101607,1112,684
42017101605,486,703
42017104000,1045,1095
42017105206,669,951
42017100700,551,350
42017103900,954,676
42017100407,226,918
42017104502,1563,1305
42017102003,505,1265
42017100600,363,739
42017105811,884,210
42017105100,463,299
42017105505,714,466
42017105807,541,206
42017104702,662,741
42017104901,749,413
42017101401,724,1014
42017100103,527,888
42017102002,498,592
42017105507,1338,631
42017105805,828,481
42017104701,1151,732
42017100302,531,633
42017106300,794,828
42017106500,1175,635
42017106600,372,539
42017100201,845,667
42017104800,333,293
42017100104,679,876
42017102600,548,993
42017100211,1089,1062
42017105900,334,422
42017102500,447,420
42017100307,553,612
42017100401,841,549
42017100306,472,314
42017105009,1012,613
42017104603,1494,366
42017103700,607,679
42017100803,727,106
42017105702,312,474
42017100404,855,688
42029302803,1327,1088
42029304000,833,1584
42029302804,1045,872
42029301300,1082,933
42029300202,1163,993
42029303000,485,782
42029301700,418,443
42029302101,730,559
42029302102,710,370
42029306800,224,602
42029301000,1450,564
42029307200,222,249
42029300400,559,653
42029304900,1168,335
42029302802,1543,917
42029305000,208,366
42029311401,952,1111
42029304501,577,278
42029308102,405,426
42029303901,751,307
42029311000,1110,246
42029311300,775,220
42029311200,394,271
42029311100,1103,160
42029311700,1007,462
42029311500,868,170
42029311800,456,194
42029311600,201,322
42029304101,597,510
42029304102,555,389
42029306000,847,368
42029304300,1006,508
42029302805,831,514
42029300104,890,452
42029300101,511,248
42029300103,596,303
42029300109,580,98
42029300106,902,293
42029307800,375,476
42029304403,429,115
42029301600,469,119
42029303802,826,593
42029303801,674,472
42029304404,713,49
42029302300,579,857
42029302400,493,443
42029302500,390,622
42029302600,234,512
42029310400,2,1119
42029307700,369,723
42029302702,601,523
42029308200,371,464
42029301900,501,738
42029302901,748,1154
42029306600,496,980
42029307100,334,1463
42029307900,379,1284
42029303401,506,925
42029307000,1701,404
42029306900,468,1194
42029308000,856,1384
42029301402,872,568
42029301401,416,867
42029307400,483,1574
42029300800,675,1507
42029300600,503,977
42029301500,417,351
42029300700,483,1380
42029300900,367,378
42029300201,889,527
42029307300,498,709
42029302203,666,430
42029300107,683,1182
42029300301,1101,708
42029301100,423,1079
42029304406,496,267
42029302706,634,536
42029302705,645,1057
42029303501,826,708
42029303502,431,869
42029303302,1199,1465
42029304600,423,651
42029305400,253,811
42029302902,771,563
42029302202,911,1512
42029301800,634,521
42029300302,605,759
42029300303,710,359
42029300501,590,977
42029300502,547,736
42029305102,540,812
42029305101,989,976
42029311404,541,1004
42029311403,956,787
42029303902,840,284
42029302703,593,402
42029302704,629,529
42029306300,239,527
42029302204,711,679
42029305300,1257,523
42029302000,708,845
42029305600,221,592
42029305500,433,1132
42029305700,279,734
42091201800,858,921
42091201606,284,1084
42101036301,572,1089
42101036400,298,601
42101036600,330,531
42091203208,843,785
42091203204,1568,174
42091204102,323,472
42091205906,214,553
42091200301,640,841
42029303301,353,759
42029306503,204,346
42029306504,405,855
42029306501,700,764
42029308101,379,226
42029304502,315,840
42029304405,495,503
42029303100,609,363
42029304201,828,551
42029303402,218,727
42029306700,472,747
42029300108,949,907
42091200602,1080,1594
42091207001,896,877
42091208603,837,824
42091200703,716,342
42091201409,878,1060
42091201410,442,255
42091205903,529,724
42091205807,221,822
42091200306,692,497
42091200305,399,868
42091200310,786,867
42091206802,495,968
42091203207,637,939
42091203304,935,1065
42101003800,939,499
42101008302,511,486
42101017602,206,1112
42101001002,628,903
42101001001,858,1064
42101000402,1100,1825
42101000401,499,638
42091200104,798,1629
42091208201,407,241
42091208904,329,495
42091207003,474,472
42091208301,554,476
42091200707,500,498
42091206905,502,505
42091206702,130,801
42091208702,686,588
42091200103,826,1047
42091201201,1415,753
42091207202,614,587
42091200908,275,567
42091208100,231,447
42091205808,1071,548
42091206102,952,1517
42091206005,618,552
42091207800,1065,274
42091203302,1171,258
42091202500,791,951
42091203602,628,433
42091206300,561,998
42091204600,688,607
42091204101,535,265
42091205700,489,954
42091205809,488,1045
42091201901,1077,216
42091202100,832,427
42091202402,624,638
42091204701,662,313
42091207300,345,604
42091208801,157,906
42091207201,254,249
42091203801,403,406
42091201203,928,1563
42101012204,1045,667
42101012203,39,583
42101013602,334,413
42101034501,1142,1042
42101034502,820,1494
42101001102,186,1116
42101000902,577,1151
42101000901,166,662
42101017201,472,652
42101017202,507,333
42101027401,314,749
42101034803,780,1414
42101034702,665,994
42101036202,1082,1054
42091202604,434,972
42091202302,599,605
42091203105,798,1012
42091201902,1266,669
42091202202,480,365
42091209100,597,476
42091204500,789,975
42091208802,412,463
42091207500,534,1178
42091201302,289,217
34021002500,857,669
34021002702,1119,517
34021002800,723,265
34021002601,443,395
42101038400,486,1523
42091205100,249,714
42091201404,1001,493
42091203203,486,1338
34005701700,525,372
34005701502,766,750
34005701201,502,939
34005701203,258,680
34005701204,450,369
34005701205,327,312
42091201003,795,746
42091206007,705,661
42091210400,1229,828
42091200906,516,541
42091201005,561,464
42091203601,284,619
42091207900,583,436
42091209202,300,884
42091209201,187,259
42091203500,1020,334
42091207101,1155,549
42101020600,293,605
42101029100,322,3098
42101029200,395,794
42101029300,240,935
42101029400,186,1176
42101029800,411,1175
42101033300,1319,372
42101033400,1175,511
42101033500,649,596
42101033600,686,890
42101033800,985,902
42101033900,425,683
42101034000,505,949
42101021300,418,580
42091204400,483,889
42091201204,518,1163
42091208905,489,1101
42091208901,492,605
42091201603,747,710
42091204009,424,559
42091208906,590,590
42091208203,726,547
42091206801,1250,503
42091200501,695,483
42091200605,1293,675
42091205904,515,367
42091205905,359,1450
42091200603,595,423
42101018400,217,1082
42101018800,493,416
42101021700,1039,872
42101021800,458,417
42101021900,269,469
42091200507,683,418
42091201502,425,634
42091204007,242,501
42091203402,842,708
42091200401,699,730
42091200200,182,710
42091204200,183,911
42091204010,419,666
42091209000,158,711
42101016701,367,579
42101021400,283,493
42101021500,253,390
42101021600,296,234
42101024100,525,601
42101024200,462,593
42101024300,351,629
42101024400,325,645
42101024500,522,634
42101024600,261,1543
42101024700,510,1327
42101024800,317,1045
42101024900,520,831
42101028200,714,748
42101031800,343,771
42101031900,451,485
42101032000,737,609
42101032100,309,353
42101032300,312,1199
42091208704,403,506
42091208604,611,218
42091200606,279,826
42091206502,475,431
34005700502,366,674
34005700503,624,826
42101022000,614,751
42101980100,34,840
42101023100,224,833
42101023500,191,597
42101023600,602,555
42101023700,860,828
42101023800,646,1006
42101023900,350,429
42101024000,446,713
42101025700,626,495
34015500600,1305,496
42101016702,301,577
42101027901,446,315
42101027902,332,423
42101008101,361,1168
42101007102,664,208
42101008802,66,989
42101008702,69,540
42101008701,134,1257
42101008102,611,253
42101008602,301,433
42101037500,522,221
42101018002,674,279
42101008801,0,847
42101012201,795,239
42101009801,231,700
42101007101,398,204
34015502400,426,405
42091201301,671,496
42091200607,386,472
42091206501,219,224
42091206704,1062,468
42101026900,570,1701
42101027000,356,334
42101027100,423,222
42101027200,378,498
42101027300,381,483
42101027500,364,369
42101027600,398,375
42101027700,1116,379
42101027800,667,856
34005702601,642,379
34005702603,257,405
34005702908,1558,371
34005702906,467,2
34021004203,651,1110
34021004201,1465,1103
34015501101,1014,394
34015500500,918,775
34015500202,684,952
34015500100,547,956
34005702500,716,541
34005701001,895,868
34015501500,1088,201
34015501206,876,1007
34015501105,481,456
34015500204,1095,493
34021004501,284,226
34021001101,389,543
34021003904,1057,261
34021004309,359,348
34021004310,977,566
34015501403,679,685
34015501404,106,156
34015501212,420,462
34015501213,612,257
34015501406,688,216
34015501608,782,401
34015502002,917,434
34021004406,1004,530
34021004403,736,597
34021004405,976,268
34021004204,811,319
34021000200,246,178
34021000300,220,533
34021000400,271,427
34021000500,160,489
34021000600,462,315
34021000700,170,314
34021000800,194,369
34021000900,322,624
42091201704,476,374
42091202401,252,680
42091200106,627,662
34005701002,560,382
34005704006,366,230
34005704007,1042,268
34005704008,925,555
34005704009,591,234
42091203401,1338,610
42101000100,274,534
42101000200,225,511
42101000300,489,385
42101000500,83,352
42101000600,76,260
42091206904,1810,182
42091201006,730,750
42091204300,946,634
42091205200,806,346
42091203403,872,321
42091200907,275,558
42091207004,753,612
42091204702,510,430
42101034100,723,254
42101034200,1209,267
42101980200,324,395
42101034400,1797,807
42101034600,468,562
42091201703,381,560
42091202301,1139,234
42091203104,1212,1052
42091202602,864,987
42091201607,430,605
42091203700,174,547
42091201604,519,210
42091201608,838,276
42091205000,289,580
42091205502,640,259
42091205600,559,350
42091206006,1351,158
42091200901,797,126
42091206703,825,360
42091210600,774,335
42101000700,411,426
42101003200,497,307
42101003300,574,217
42101003600,943,194
42101003701,493,686
42101003702,333,783
42101004101,640,424
42101004002,1030,303
42101003902,1046,220
42101004001,739,182
42101004102,835,219
42101004202,890,324
42101004201,741,608
42101025800,442,727
42101025900,710,1826
42101026000,599,1004
42101026100,822,935
42101026200,979,974
42101034801,984,464
42101026302,1045,805
42091208500,661,521
42091205801,664,1613
42091200502,577,861
42091208302,1128,722
42091201100,404,623
42091201004,1490,346
42091200704,709,454
42091206906,567,880
42101032500,675,421
42101032600,857,973
42101989100,33,1144
42101032900,371,798
42101033000,724,703
42101033200,341,237
42101035500,1507,293
42101035800,1236,774
42101035900,1285,442
42101036000,1080,402
42101036100,572,1241
42101036203,846,1036
42101035302,887,1356
42091210700,728,664
42091203902,457,859
42091203303,1437,732
42091201705,617,785
42091208601,942,637
42091206600,231,564
34005702905,708,697
34005702101,0,636
34005700102,520,450
42101026400,1064,551
42101026500,827,559
42101026600,1168,579
42101026700,1115,320
42101026800,756,546
42101029900,264,822
42101030000,512,926
42101030100,359,322
42101030200,727,873
42101030600,1116,119
42101030700,413,611
42101030800,598,990
42101030900,346,1420
34015501703,602,866
34015501102,888,705
42101000801,126,1248
42101001101,454,1119
42101027402,445,713
42101008601,312,1139
42101036502,680,2996
42101036700,216,1545
42101037600,196,512
42101038600,344,403
42101038500,452,741
42101038700,585,588
42101038800,730,1411
42101038900,571,826
42101980000,12,798
34021004502,402,531
42101028000,609,627
42101028100,506,182
34005704012,550,640
34005700401,353,399
34005700402,584,692
34005700403,807,657
34005700405,294,477
34005700103,411,407
34005700104,261,786
34005702300,234,699
34005702203,706,405
34005702206,329,695
34005700305,1048,577
34005700306,430,1025
34015500201,376,321
34021002100,593,683
34021002200,472,1080
34021002701,512,595
34021002400,49,1293
34021004301,563,279
34021004304,1512,386
34021003800,1079,716
34021003706,708,709
34021003100,568,500
42101005500,857,900
42101005600,128,358
42101006000,898,797
42101006100,401,106
42101006200,260,435
42101006300,231,516
42101010000,513,275
42101010100,820,275
42101010200,393,795
42101010300,296,1490
42101010400,640,561
42101010500,1066,730
42101010600,190,404
42101010700,240,1415
42101010800,346,928
42101010900,250,518
42101011000,402,671
42101011100,422,289
42101011200,599,1001
42101011300,567,946
34021004404,812,361
34015501405,474,600
34015501609,443,878
34015502001,335,442
34021003400,351,400
34021003500,1380,1216
34021003601,378,425
34021003602,527,747
34021003705,1182,519
42101020101,529,484
34005700307,484,284
34005700800,833,430
34005700602,812,838
34005700303,688,381
34005700605,716,476
42091208903,452,617
42091204008,486,450
42091200800,358,858
42091205503,1067,1077
34021003302,977,1266
34021003201,867,337
34021003903,536,832
34021003202,1574,653
34021004000,869,480
42101007900,347,1139
42101008000,520,599
42101008200,1333,252
42101017601,524,624
42101008301,1041,791
42091206201,392,864
42101001300,677,459
42101001400,427,434
42101001500,303,544
42101001600,152,435
42101001700,257,1212
42101001800,296,798
42101001900,164,234
42101002000,271,486
42101002100,276,1568
42101002200,155,390
42101002300,348,637
42101002400,520,843
42101002500,444,1171
42101002900,570,1437
42101003100,546,935
42101005400,224,1338
42101002801,373,842
42101020102,332,872
42101031101,384,1020
42101031102,224,284
42101019502,83,628
42101019501,408,174
42101028901,262,403
42101028902,372,336
42101033101,620,178
42101033102,577,216
42101031501,903,457
42101030501,299,463
42101030502,526,242
42101009802,399,486
42101018001,323,424
42101017702,274,419
42101017701,115,535
42101035602,589,323
42101036201,847,183
42091205501,586,946
42091205300,345,483
42091203000,544,789
42091210300,896,688
42091200105,531,662
42091206400,448,510
42091203205,390,1368
42091207104,1159,1146
42101006400,299,289
42101006500,625,249
42101008400,537,806
42101008500,855,345
42101009000,121,1221
42101009100,594,586
42101009200,233,640
42101009300,435,1067
42101009400,592,559
42101009500,334,489
42101009600,593,664
42101013800,191,565
42101013900,523,263
42101014000,242,221
42101014100,436,1071
42101014200,151,488
42101014300,150,529
42101031000,789,515
42101031200,383,359
42101031300,516,214
42101031600,664,597
42101031700,649,618
34015501210,422,1351
34015501103,592,705
34015501402,366,952
34015502300,278,288
34015500702,739,881
34015501003,413,653
34015501204,667,392
34015501104,631,173
42101036302,388,561
42101036900,155,448
42101037300,1439,219
42101037200,848,475
42101038300,195,231
42101039000,504,130
42101037800,297,825
42101037700,185,1062
42091201706,450,1250
42091201605,484,495
42091202000,337,946
42101006600,535,1810
42101006700,451,502
42101006900,220,567
42101007000,488,896
42101007200,768,474
42101007300,418,753
42101007400,628,1155
42101007700,60,539
42101007800,344,1159
42101011500,435,254
42101011700,213,614
34005702204,324,345
34005702208,875,426
34005700701,424,534
42101036303,1147,544
42101034701,971,1065
42101034802,873,583
42101034900,599,531
42101035100,1604,231
42101035200,766,407
42101035301,738,726
42101026301,707,572
42101000804,652,554
34021004407,787,1128
34021004306,521,728
42091201411,400,661
42091200307,657,942
42091204900,1146,837
42091205400,1221,611
42091204002,463,686
42091204800,1368,823
42091200402,405,403
34005703600,1082,157
34005703700,794,412
34005703801,1286,492
34005703802,693,452
34005703803,1052,329
34005701102,793,489
34005700702,256,590
34015501209,1062,158
34015502200,1111,597
34015500701,1265,187
34015501900,653,300
34015501605,933,519
34021002903,464,511
34021002902,523,896
34021003001,1154,1229
34021003002,980,982
34015500300,350,774
34015501704,564,728
34015501800,249,274
34015501201,828,225
34015500205,951,489
42091203106,234,499
42091208204,572,1100
34015500703,210,83
34015500203,703,76
34015500900,466,411
34015501107,633,126
34015500800,299,884
34015501001,206,652
34015501002,741,166
34015501106,732,577
34005701103,547,858
34005701104,619,628
34005701105,882,454
34005700304,383,186
42101035701,749,560
42101035702,418,585
42101035601,1768,677
42101015101,229,427
42101015102,472,303
42101036501,991,152
34021003003,1463,257
34021003009,1384,296
34021003006,925,164
34021003007,404,271
34021003008,1194,276
34021003004,1284,155
34021003902,267,348
42091207600,544,520
42091206104,288,444
42091200708,900,270
42091206105,881,520
42091206106,653,373
42091200308,477,892
42091203103,435,570
42091208000,531,547
42091210200,511,413
42101014400,326,546
42101014500,257,497
42101014600,625,574
42101014700,31,943
42101014800,161,493
42101014900,702,333
42091208400,728,939
42091200506,321,743
42091200309,407,1046
42101025200,1149,739
42101025300,487,1030
42101025400,849,640
42101025500,466,835
42101025600,551,741
42101028300,462,890
42101028400,419,224
42101028500,207,857
42101028600,358,128
42101028700,156,898
42101028800,276,401
42101029000,515,260
42101013402,174,231
42101013401,803,299
42101013601,334,625
42101037900,831,535
42101038200,239,451
42101038000,234,220
42101038100,57,488
42091200505,1025,398
42091201406,946,664
42091200902,106,768
42091207400,426,418
42091206202,173,628
42091200903,435,60
42091210500,982,344
42091205805,565,347
42101011800,1181,520
42101011900,763,361
42101012000,217,611
42101012100,791,1333
42101012500,863,1041
42101013100,192,511
42101013200,731,537
42101015200,415,855
42101015300,175,312
42101015600,166,301
42101019000,378,134
42101019100,785,69
42101019200,422,0
42101019700,728,66
42101019800,544,121
42101019900,416,594
42101020000,86,233
42101020200,918,435
42101020300,294,592
42101020400,356,334
42101020500,407,593
42101001202,585,231
42101001201,560,399
42101000803,884,513
42101011400,979,820
42101015700,149,393
42101015800,726,296
42101016000,508,640
42101016100,341,1066
42101016200,176,190
42101016300,262,240
42101016400,404,346
42101016500,223,250
42101016600,121,402
42101016800,413,422
42101003901,743,599
42101016902,642,567
42101016901,200,979
42101020700,559,435
42101020800,280,213
42101020900,256,1181
42101021000,591,763
42101021100,339,217
42101021200,271,791
42091201501,1216,795
42091205806,263,39
42091206004,597,1045
42091208703,823,863
42091206901,946,192
34005703804,1100,731
42101013300,135,135
42101013500,420,803
42101013700,547,174
42101017000,290,420
42101017100,628,334
42101017300,329,334
42101017400,281,547
42101017500,713,191
42101017800,255,523
42101017900,561,242
42101018300,554,436
34015501604,872,151
34015501606,993,150
34021001402,248,326
34021001500,303,257
42101002702,520,625
42101003002,413,31
42101003001,547,161
42101002802,892,702
42101002701,270,229
42101033701,1033,472
42101033702,815,415
42101031502,495,175
42101031401,414,166
42101031402,597,149
42091202603,459,726
42091202201,653,508
42091203803,336,341
42091203804,178,176
42091203901,216,262
42091210100,519,404
42091201408,600,223
42091201407,361,121
42091207103,539,367
34015501303,613,301
34005703900,666,413
34005700504,565,200
34005700505,1167,642
34005700501,968,290
34021003704,430,628
34021002602,622,472
34021003703,709,507
34021000100,307,329
34021001600,98,281
34021001700,293,713
34021001800,476,524
34021001900,115,206
34021002000,119,115
34015501702,370,274
34021001000,510,255
34021001300,514,561
34021001200,508,323
34021001401,452,674
34005700900,340,554
34015501701,559,217
34021003301,1507,493
34021002904,738,378
34021004307,759,785
34021001102,368,422
34021003905,708,408
34015500400,676,83
34015501302,314,728
34015501208,993,544
34015501301,549,416
34015501603,1584,86
34015501202,635,529
34015501203,539,332
34015501205,293,918
34015502100,366,294
34007608401,379,356
34007604600,285,407
34007603506,1135,293
34007609203,991,559
34007608503,251,280
34007607702,738,256
34007603303,859,591
34007603603,416,339
34007608903,446,271
34007608901,761,418
34007608403,280,283
34007603602,451,253
34007603501,1090,296
34007607701,601,1039
34007607801,566,458
34007608206,609,269
34007609205,659,614
34007600700,145,224
34007609202,413,191
34007607505,789,602
34007603800,668,860
34007603002,565,646
34007601101,194,350
34007601200,503,446
34007601300,460,525
34007601000,343,462
34007601600,162,351
34007601102,477,325
34007601400,462,522
34007603301,784,261
34007603507,1352,510
34007603700,453,317
34007603505,520,520
34007609204,559,1149
34007604300,661,487
34007603400,1312,849
34007603200,1249,466
34007603302,828,551
34007607401,472,626
34007608700,1325,442
34007608302,801,710
34007600900,340,599
34007600400,307,822
34007602901,972,979
34007603001,414,707
34007601500,478,1045
34007602503,495,1064
34007609000,391,827
34007602602,324,1168
34007602601,370,1115
34007603100,589,756
34007608904,207,570
34007603601,805,356
34007607402,358,423
34007606100,283,378
34007607600,387,381
34007607504,468,314
34007607506,315,445
34007608304,893,364
34007610300,360,398
34007610400,424,1116
34007610600,303,667
34007607507,1030,446
34007608210,293,332
34007608211,867,609
34007608303,347,506
34007610500,703,714
34007610900,728,462
34007611000,498,419
34007611100,726,207
34007611200,773,358
34007611300,967,156
34007611400,456,276
34007611500,920,262
34007611600,654,372
34007611700,369,515
34005704011,430,322
34005704004,422,395
34005704005,766,240
34005701303,1036,186
34005701301,690,411
34005701302,384,264
34007610800,612,512
34007604100,183,359
34007609201,395,727
34007605200,420,299
34007603902,613,526
34007608800,943,1116
34007605100,339,413
34007608404,894,598
34007607200,623,346
34007605900,422,789
34005703000,948,384
34005702809,205,224
34005700703,138,383
34005700200,456,516
34005703201,626,414
34005703202,463,597
34005703203,2420,903
34005702400,459,495
34005702700,1041,664
34005702801,321,649
34007607000,749,343
34007604700,253,451
34007608001,418,737
34007604200,524,309
34007606000,470,312
34007606800,611,675
34007607502,1925,857
34007605602,337,371
34007605800,495,724
34007605700,497,620
34007603503,1021,577
34007607100,507,341
34005702802,737,1319
34005702803,669,1175
34005704013,603,649
34005704014,1498,686
34005702207,516,1033
34005700603,743,815
34005703102,356,985
34005702804,472,425
34005702805,570,505
34005702806,425,723
34005702807,487,1209
34005702808,496,1797
34005702810,341,1142
34007606700,752,820
34007606600,350,468
34007607300,497,971
34005704200,854,665
34005704500,570,984
34005704600,306,873
34005704801,139,780
34005702209,279,599
34005702915,397,1604
34005704802,202,766
34007606300,422,738
34007605400,370,887
34007607900,284,1507
34007606400,547,1768
34007606500,624,589
34007608205,718,749
34007607503,1155,418
34007608209,572,1236
34007608504,366,1285
34007604400,524,1080
34005702811,575,572
34005702210,643,847
34005704302,702,1082
34005702913,765,846
34005702914,516,572
34005702917,266,388
34005702918,161,1147
34005703103,427,298
34005703104,712,991
34005702909,798,680
34005701402,1370,330
34005701401,1139,216
34005702907,911,155
34005702910,647,848
34007608202,586,1439
34007606200,759,522
34005700407,503,196
34005700408,327,185
34005981802,4,297
34005982111,0,831
34005704700,565,234
34007601900,311,57
34007601700,283,239
34007603504,510,195
34007602000,277,486
34007609103,737,452
34007605300,217,344
34007600800,509,585
34007600200,172,730
34007608600,563,571
34007602902,422,504
34007608402,590,12
34007601800,113,34
34007603901,1205,324
34007607802,320,33
