GEOID,RM_CntMOE_n,RM_CntMOE
34005700102,225,225
34005700103,179,179
34005700104,222,222
34005700200,97,97
34005700303,280,280
34005700304,122,122
34005700305,142,142
34005700306,67,67
34005700307,105,105
34005700401,107,107
34005700402,102,102
34005700403,191,191
34005700405,182,182
34005700407,463,463
34005700408,237,237
34005700501,381,381
34005700502,102,102
34005700503,177,177
34005700504,125,125
34005700505,252,252
34005700602,340,340
34005700603,511,511
34005700605,261,261
34005700701,306,306
34005700702,343,343
34005700703,231,231
34005700800,197,197
34005700900,186,186
34005701001,456,456
34005701002,298,298
34005701102,306,306
34005701103,319,319
34005701104,465,465
34005701105,465,465
34005701201,386,386
34005701203,171,171
34005701204,325,325
34005701205,175,175
34005701301,236,236
34005701302,220,220
34005701303,190,190
34005701401,319,319
34005701402,158,158
34005701502,274,274
34005701700,252,252
34005702101,323,323
34005702203,261,261
34005702204,180,180
34005702206,268,268
34005702207,279,279
34005702208,285,285
34005702209,217,217
34005702210,256,256
34005702300,153,153
34005702400,209,209
34005702500,239,239
34005702601,196,196
34005702603,164,164
34005702700,448,448
34005702801,234,234
34005702802,329,329
34005702803,340,340
34005702804,316,316
34005702805,414,414
34005702806,339,339
34005702807,271,271
34005702808,390,390
34005702809,198,198
34005702810,159,159
34005702811,225,225
34005702905,204,204
34005702906,123,123
34005702907,195,195
34005702908,196,196
34005702909,388,388
34005702910,214,214
34005702913,377,377
34005702914,131,131
34005702915,259,259
34005702917,123,123
34005702918,126,126
34005703000,230,230
34005703102,149,149
34005703103,305,305
34005703104,257,257
34005703201,86,86
34005703202,69,69
34005703203,166,166
34005703600,329,329
34005703700,152,152
34005703801,348,348
34005703802,157,157
34005703803,204,204
34005703804,347,347
34005703900,66,66
34005704004,289,289
34005704005,161,161
34005704006,92,92
34005704007,112,112
34005704008,214,214
34005704009,281,281
34005704011,134,134
34005704012,266,266
34005704013,271,271
34005704014,343,343
34005704200,404,404
34005704302,320,320
34005704500,343,343
34005704600,196,196
34005704700,116,116
34005704801,381,381
34005704802,265,265
34005981802,210,210
34005982111,149,149
34007600200,315,315
34007600400,580,580
34007600700,259,259
34007600800,672,672
34007600900,428,428
34007601000,656,656
34007601101,515,515
34007601102,624,624
34007601200,785,785
34007601300,455,455
34007601400,564,564
34007601500,740,740
34007601600,334,334
34007601700,370,370
34007601800,294,294
34007601900,478,478
34007602000,886,886
34007602503,394,394
34007602601,224,224
34007602602,332,332
34007602901,360,360
34007602902,348,348
34007603001,259,259
34007603002,419,419
34007603100,326,326
34007603200,302,302
34007603301,311,311
34007603302,423,423
34007603303,273,273
34007603400,570,570
34007603501,251,251
34007603503,141,141
34007603504,97,97
34007603505,196,196
34007603506,387,387
34007603507,410,410
34007603601,200,200
34007603602,171,171
34007603603,86,86
34007603700,324,324
34007603800,300,300
34007603901,113,113
34007603902,179,179
34007604100,204,204
34007604200,245,245
34007604300,120,120
34007604400,255,255
34007604600,91,91
34007604700,44,44
34007605100,35,35
34007605200,263,263
34007605300,130,130
34007605400,111,111
34007605602,68,68
34007605700,272,272
34007605800,179,179
34007605900,143,143
34007606000,30,30
34007606100,68,68
34007606200,103,103
34007606300,111,111
34007606400,101,101
34007606500,75,75
34007606600,57,57
34007606700,171,171
34007606800,234,234
34007607000,287,287
34007607100,165,165
34007607200,386,386
34007607300,185,185
34007607401,191,191
34007607402,221,221
34007607502,333,333
34007607503,436,436
34007607504,170,170
34007607505,213,213
34007607506,199,199
34007607507,362,362
34007607600,56,56
34007607701,679,679
34007607702,335,335
34007607801,717,717
34007607802,165,165
34007607900,59,59
34007608001,244,244
34007608202,239,239
34007608205,155,155
34007608206,195,195
34007608209,222,222
34007608210,471,471
34007608211,395,395
34007608302,335,335
34007608303,212,212
34007608304,598,598
34007608401,173,173
34007608402,177,177
34007608403,636,636
34007608404,302,302
34007608503,230,230
34007608504,300,300
34007608600,280,280
34007608700,397,397
34007608800,200,200
34007608901,554,554
34007608903,170,170
34007608904,35,35
34007609000,155,155
34007609103,439,439
34007609201,385,385
34007609202,450,450
34007609203,594,594
34007609204,376,376
34007609205,312,312
34007610300,261,261
34007610400,505,505
34007610500,779,779
34007610600,127,127
34007610800,401,401
34007610900,46,46
34007611000,780,780
34007611100,312,312
34007611200,145,145
34007611300,171,171
34007611400,236,236
34007611500,176,176
34007611600,240,240
34007611700,210,210
34015500100,268,268
34015500201,146,146
34015500202,148,148
34015500203,158,158
34015500204,413,413
34015500205,104,104
34015500300,108,108
34015500400,366,366
34015500500,133,133
34015500600,264,264
34015500701,304,304
34015500702,323,323
34015500703,35,35
34015500800,92,92
34015500900,49,49
34015501001,219,219
34015501002,389,389
34015501003,293,293
34015501101,235,235
34015501102,313,313
34015501103,316,316
34015501104,283,283
34015501105,369,369
34015501106,336,336
34015501107,174,174
34015501201,312,312
34015501202,151,151
34015501203,26,26
34015501204,131,131
34015501205,142,142
34015501206,192,192
34015501208,205,205
34015501209,444,444
34015501210,87,87
34015501212,171,171
34015501213,362,362
34015501301,79,79
34015501302,144,144
34015501303,186,186
34015501402,281,281
34015501403,394,394
34015501404,194,194
34015501405,246,246
34015501406,392,392
34015501500,478,478
34015501603,353,353
34015501604,456,456
34015501605,345,345
34015501606,380,380
34015501608,230,230
34015501609,396,396
34015501701,213,213
34015501702,91,91
34015501703,306,306
34015501704,335,335
34015501800,55,55
34015501900,192,192
34015502001,199,199
34015502002,319,319
34015502100,83,83
34015502200,287,287
34015502300,166,166
34015502400,252,252
34021000100,242,242
34021000200,449,449
34021000300,640,640
34021000400,405,405
34021000500,378,378
34021000600,512,512
34021000700,326,326
34021000800,312,312
34021000900,448,448
34021001000,548,548
34021001101,308,308
34021001102,511,511
34021001200,397,397
34021001300,521,521
34021001401,408,408
34021001402,354,354
34021001500,521,521
34021001600,237,237
34021001700,463,463
34021001800,539,539
34021001900,290,290
34021002000,178,178
34021002100,549,549
34021002200,637,637
34021002400,334,334
34021002500,501,501
34021002601,363,363
34021002602,388,388
34021002701,422,422
34021002702,393,393
34021002800,741,741
34021002902,430,430
34021002903,431,431
34021002904,223,223
34021003001,180,180
34021003002,318,318
34021003003,256,256
34021003004,207,207
34021003006,397,397
34021003007,123,123
34021003008,302,302
34021003009,340,340
34021003100,290,290
34021003201,435,435
34021003202,321,321
34021003301,196,196
34021003302,613,613
34021003400,306,306
34021003500,591,591
34021003601,509,509
34021003602,334,334
34021003703,254,254
34021003704,194,194
34021003705,374,374
34021003706,279,279
34021003800,469,469
34021003902,88,88
34021003903,89,89
34021003904,242,242
34021003905,120,120
34021004000,292,292
34021004201,340,340
34021004203,270,270
34021004204,323,323
34021004301,491,491
34021004304,376,376
34021004306,239,239
34021004307,310,310
34021004309,218,218
34021004310,312,312
34021004403,601,601
34021004404,694,694
34021004405,410,410
34021004406,419,419
34021004407,532,532
34021004501,253,253
34021004502,82,82
42017100102,252,252
42017100103,102,102
42017100104,476,476
42017100105,111,111
42017100201,250,250
42017100206,225,225
42017100207,243,243
42017100208,404,404
42017100209,576,576
42017100210,321,321
42017100211,264,264
42017100212,165,165
42017100302,126,126
42017100303,361,361
42017100304,278,278
42017100306,279,279
42017100307,383,383
42017100401,197,197
42017100402,262,262
42017100403,240,240
42017100404,346,346
42017100406,184,184
42017100407,40,40
42017100408,234,234
42017100500,40,40
42017100600,355,355
42017100700,262,262
42017100803,302,302
42017100804,89,89
42017100805,200,200
42017100807,265,265
42017100808,312,312
42017100809,289,289
42017100811,297,297
42017100900,338,338
42017101100,203,203
42017101401,130,130
42017101403,193,193
42017101404,133,133
42017101405,263,263
42017101503,232,232
42017101504,158,158
42017101505,100,100
42017101506,40,40
42017101603,160,160
42017101605,319,319
42017101607,14,14
42017101609,115,115
42017101610,61,61
42017101611,297,297
42017101802,383,383
42017101803,203,203
42017101805,25,25
42017101807,288,288
42017101808,214,214
42017101900,150,150
42017102002,70,70
42017102003,151,151
42017102004,200,200
42017102102,69,69
42017102104,212,212
42017102300,160,160
42017102401,99,99
42017102402,80,80
42017102500,122,122
42017102600,186,186
42017102700,217,217
42017102801,107,107
42017103101,83,83
42017103102,147,147
42017103103,168,168
42017103300,16,16
42017103400,246,246
42017103700,49,49
42017103800,13,13
42017103900,71,71
42017104000,278,278
42017104100,175,175
42017104201,155,155
42017104203,189,189
42017104204,134,134
42017104301,83,83
42017104303,174,174
42017104304,46,46
42017104400,79,79
42017104502,240,240
42017104503,141,141
42017104505,166,166
42017104506,68,68
42017104601,120,120
42017104603,283,283
42017104604,136,136
42017104701,110,110
42017104702,177,177
42017104703,62,62
42017104800,79,79
42017104901,102,102
42017104902,235,235
42017105003,157,157
42017105004,287,287
42017105006,165,165
42017105008,201,201
42017105009,96,96
42017105010,165,165
42017105011,201,201
42017105012,33,33
42017105013,190,190
42017105100,82,82
42017105202,153,153
42017105203,127,127
42017105206,159,159
42017105207,129,129
42017105208,220,220
42017105300,18,18
42017105400,330,330
42017105505,166,166
42017105506,157,157
42017105507,201,201
42017105508,128,128
42017105509,151,151
42017105510,317,317
42017105511,113,113
42017105600,132,132
42017105702,136,136
42017105704,402,402
42017105801,289,289
42017105805,356,356
42017105807,269,269
42017105808,116,116
42017105809,272,272
42017105810,39,39
42017105811,327,327
42017105812,71,71
42017105900,45,45
42017106000,200,200
42017106100,73,73
42017106200,463,463
42017106300,241,241
42017106401,228,228
42017106402,249,249
42017106500,298,298
42017106600,15,15
42017980000,0,NA
42029300101,122,122
42029300103,277,277
42029300104,143,143
42029300106,380,380
42029300107,148,148
42029300108,382,382
42029300109,190,190
42029300201,111,111
42029300202,145,145
42029300301,146,146
42029300302,57,57
42029300303,120,120
42029300400,288,288
42029300501,115,115
42029300502,188,188
42029300600,306,306
42029300700,534,534
42029300800,204,204
42029300900,187,187
42029301000,353,353
42029301100,197,197
42029301300,403,403
42029301401,126,126
42029301402,144,144
42029301500,85,85
42029301600,32,32
42029301700,37,37
42029301800,230,230
42029301900,128,128
42029302000,224,224
42029302101,265,265
42029302102,223,223
42029302202,289,289
42029302203,239,239
42029302204,351,351
42029302300,167,167
42029302400,142,142
42029302500,152,152
42029302600,239,239
42029302702,442,442
42029302703,179,179
42029302704,216,216
42029302705,240,240
42029302706,96,96
42029302802,35,35
42029302803,0,0
42029302804,107,107
42029302805,240,240
42029302901,116,116
42029302902,302,302
42029303000,135,135
42029303100,194,194
42029303301,106,106
42029303302,205,205
42029303401,378,378
42029303402,138,138
42029303501,202,202
42029303502,167,167
42029303801,142,142
42029303802,491,491
42029303901,137,137
42029303902,229,229
42029304000,246,246
42029304101,468,468
42029304102,300,300
42029304201,422,422
42029304300,437,437
42029304403,197,197
42029304404,258,258
42029304405,204,204
42029304406,100,100
42029304501,242,242
42029304502,80,80
42029304600,123,123
42029304900,128,128
42029305000,14,14
42029305101,201,201
42029305102,246,246
42029305300,520,520
42029305400,467,467
42029305500,422,422
42029305600,416,416
42029305700,201,201
42029306000,315,315
42029306300,126,126
42029306501,296,296
42029306503,187,187
42029306504,161,161
42029306600,76,76
42029306700,79,79
42029306800,65,65
42029306900,94,94
42029307000,283,283
42029307100,82,82
42029307200,43,43
42029307300,310,310
42029307400,207,207
42029307700,7,7
42029307800,80,80
42029307900,319,319
42029308000,297,297
42029308101,149,149
42029308102,232,232
42029308200,141,141
42029310400,168,168
42029311000,385,385
42029311100,238,238
42029311200,31,31
42029311300,162,162
42029311401,490,490
42029311403,151,151
42029311404,109,109
42029311500,29,29
42029311600,133,133
42029311700,343,343
42029311800,169,169
42045400301,801,801
42045400302,380,380
42045400401,426,426
42045400402,482,482
42045400500,538,538
42045400600,331,331
42045400700,492,492
42045400801,380,380
42045400802,286,286
42045400900,145,145
42045401000,163,163
42045401101,328,328
42045401103,237,237
42045401104,174,174
42045401200,283,283
42045401301,343,343
42045401302,230,230
42045401401,128,128
42045401402,232,232
42045401501,156,156
42045401502,464,464
42045401600,160,160
42045401700,175,175
42045401800,344,344
42045401900,353,353
42045402000,317,317
42045402100,388,388
42045402200,275,275
42045402300,286,286
42045402400,395,395
42045402500,340,340
42045402600,343,343
42045402700,184,184
42045402800,281,281
42045402900,292,292
42045403001,72,72
42045403002,71,71
42045403101,236,236
42045403103,407,407
42045403104,296,296
42045403200,201,201
42045403300,700,700
42045403401,263,263
42045403402,331,331
42045403501,238,238
42045403502,224,224
42045403601,213,213
42045403602,141,141
42045403701,58,58
42045403702,33,33
42045403800,349,349
42045403901,122,122
42045403902,85,85
42045404003,239,239
42045404004,179,179
42045404101,171,171
42045404102,355,355
42045404103,105,105
42045404300,239,239
42045404400,150,150
42045404500,553,553
42045404600,255,255
42045404700,298,298
42045404800,271,271
42045404900,278,278
42045405000,221,221
42045405100,249,249
42045405200,314,314
42045405300,403,403
42045405400,219,219
42045406100,128,128
42045406201,147,147
42045406202,185,185
42045406300,249,249
42045406401,168,168
42045406402,146,146
42045406500,182,182
42045406600,135,135
42045406700,217,217
42045406801,265,265
42045406802,225,225
42045406803,498,498
42045406902,267,267
42045406903,79,79
42045406904,216,216
42045407000,99,99
42045407101,146,146
42045407102,154,154
42045407201,271,271
42045407202,65,65
42045407401,236,236
42045407404,218,218
42045407501,206,206
42045407502,125,125
42045407600,330,330
42045407700,116,116
42045407801,122,122
42045407802,266,266
42045407803,181,181
42045407804,119,119
42045407805,58,58
42045407806,141,141
42045407901,199,199
42045407902,121,121
42045407903,205,205
42045408001,124,124
42045408002,122,122
42045408101,130,130
42045408102,175,175
42045408103,184,184
42045408300,195,195
42045408400,44,44
42045408500,125,125
42045408600,158,158
42045408700,194,194
42045408800,343,343
42045408900,220,220
42045409000,267,267
42045409100,102,102
42045409200,151,151
42045409300,75,75
42045409400,107,107
42045409500,229,229
42045409601,253,253
42045409602,214,214
42045409701,243,243
42045409702,72,72
42045409802,256,256
42045409803,254,254
42045409902,218,218
42045409903,193,193
42045409904,120,120
42045410000,273,273
42045410100,224,224
42045410200,189,189
42045410301,270,270
42045410302,498,498
42045410400,276,276
42045410500,594,594
42045410601,255,255
42045410602,166,166
42045410700,502,502
42045410800,203,203
42045980000,0,NA
42091200103,137,137
42091200104,177,177
42091200105,73,73
42091200106,118,118
42091200200,55,55
42091200301,463,463
42091200305,50,50
42091200306,114,114
42091200307,210,210
42091200308,217,217
42091200309,79,79
42091200310,68,68
42091200401,173,173
42091200402,177,177
42091200501,120,120
42091200502,263,263
42091200505,344,344
42091200506,309,309
42091200507,171,171
42091200602,580,580
42091200603,116,116
42091200605,365,365
42091200606,231,231
42091200607,201,201
42091200703,369,369
42091200704,241,241
42091200707,229,229
42091200708,304,304
42091200800,192,192
42091200901,319,319
42091200902,146,146
42091200903,272,272
42091200906,131,131
42091200907,82,82
42091200908,189,189
42091201003,344,344
42091201004,277,277
42091201005,175,175
42091201006,160,160
42091201100,194,194
42091201201,185,185
42091201203,197,197
42091201204,86,86
42091201301,292,292
42091201302,297,297
42091201404,182,182
42091201406,168,168
42091201407,195,195
42091201408,93,93
42091201409,92,92
42091201410,155,155
42091201411,118,118
42091201501,277,277
42091201502,77,77
42091201603,291,291
42091201604,180,180
42091201605,204,204
42091201606,239,239
42091201607,380,380
42091201608,466,466
42091201703,196,196
42091201704,159,159
42091201705,155,155
42091201706,246,246
42091201800,160,160
42091201901,191,191
42091201902,311,311
42091202000,73,73
42091202100,199,199
42091202201,228,228
42091202202,167,167
42091202301,246,246
42091202302,122,122
42091202401,287,287
42091202402,319,319
42091202500,646,646
42091202602,169,169
42091202603,197,197
42091202604,202,202
42091203000,164,164
42091203103,125,125
42091203104,118,118
42091203105,297,297
42091203106,112,112
42091203203,318,318
42091203204,447,447
42091203205,120,120
42091203207,210,210
42091203208,154,154
42091203302,367,367
42091203303,295,295
42091203304,193,193
42091203401,319,319
42091203402,455,455
42091203403,243,243
42091203500,655,655
42091203601,335,335
42091203602,270,270
42091203700,324,324
42091203801,361,361
42091203803,471,471
42091203804,350,350
42091203901,389,389
42091203902,411,411
42091204002,233,233
42091204007,111,111
42091204008,169,169
42091204009,108,108
42091204010,157,157
42091204101,116,116
42091204102,141,141
42091204200,35,35
42091204300,191,191
42091204400,138,138
42091204500,114,114
42091204600,172,172
42091204701,116,116
42091204702,184,184
42091204800,117,117
42091204900,223,223
42091205000,188,188
42091205100,144,144
42091205200,121,121
42091205300,145,145
42091205400,235,235
42091205501,297,297
42091205502,156,156
42091205503,199,199
42091205600,184,184
42091205700,290,290
42091205801,264,264
42091205805,147,147
42091205806,149,149
42091205807,209,209
42091205808,222,222
42091205809,136,136
42091205903,126,126
42091205904,75,75
42091205905,260,260
42091205906,243,243
42091206004,326,326
42091206005,218,218
42091206006,98,98
42091206007,519,519
42091206102,368,368
42091206104,167,167
42091206105,122,122
42091206106,239,239
42091206201,71,71
42091206202,189,189
42091206300,210,210
42091206400,200,200
42091206501,144,144
42091206502,180,180
42091206600,45,45
42091206702,180,180
42091206703,182,182
42091206704,122,122
42091206801,369,369
42091206802,150,150
42091206901,285,285
42091206904,252,252
42091206905,342,342
42091206906,173,173
42091207001,168,168
42091207003,166,166
42091207004,325,325
42091207101,314,314
42091207103,263,263
42091207104,139,139
42091207201,55,55
42091207202,263,263
42091207300,233,233
42091207400,53,53
42091207500,44,44
42091207600,25,25
42091207800,125,125
42091207900,57,57
42091208000,192,192
42091208100,66,66
42091208201,26,26
42091208203,198,198
42091208204,77,77
42091208301,47,47
42091208302,218,218
42091208400,86,86
42091208500,104,104
42091208601,255,255
42091208603,234,234
42091208604,378,378
42091208702,124,124
42091208703,184,184
42091208704,363,363
42091208801,194,194
42091208802,564,564
42091208901,241,241
42091208903,221,221
42091208904,286,286
42091208905,241,241
42091208906,254,254
42091209000,148,148
42091209100,186,186
42091209201,94,94
42091209202,161,161
42091210100,331,331
42091210200,129,129
42091210300,116,116
42091210400,190,190
42091210500,288,288
42091210600,198,198
42091210700,258,258
42101000100,333,333
42101000200,363,363
42101000300,245,245
42101000401,219,219
42101000402,176,176
42101000500,463,463
42101000600,75,75
42101000700,369,369
42101000801,151,151
42101000803,280,280
42101000804,216,216
42101000901,209,209
42101000902,143,143
42101001001,186,186
42101001002,112,112
42101001101,246,246
42101001102,196,196
42101001201,221,221
42101001202,221,221
42101001300,400,400
42101001400,313,313
42101001500,245,245
42101001600,73,73
42101001700,240,240
42101001800,261,261
42101001900,244,244
42101002000,186,186
42101002100,240,240
42101002200,335,335
42101002300,183,183
42101002400,221,221
42101002500,281,281
42101002701,482,482
42101002702,281,281
42101002801,623,623
42101002802,600,600
42101002900,579,579
42101003001,427,427
42101003002,373,373
42101003100,605,605
42101003200,665,665
42101003300,686,686
42101003600,868,868
42101003701,836,836
42101003702,414,414
42101003800,143,143
42101003901,669,669
42101003902,136,136
42101004001,222,222
42101004002,324,324
42101004101,818,818
42101004102,825,825
42101004201,404,404
42101004202,500,500
42101005000,0,NA
42101005400,185,185
42101005500,925,925
42101005600,179,179
42101006000,717,717
42101006100,405,405
42101006200,560,560
42101006300,617,617
42101006400,558,558
42101006500,529,529
42101006600,480,480
42101006700,887,887
42101006900,404,404
42101007000,425,425
42101007101,322,322
42101007102,628,628
42101007200,552,552
42101007300,379,379
42101007400,552,552
42101007700,196,196
42101007800,413,413
42101007900,495,495
42101008000,524,524
42101008101,526,526
42101008102,737,737
42101008200,826,826
42101008301,596,596
42101008302,534,534
42101008400,732,732
42101008500,861,861
42101008601,233,233
42101008602,306,306
42101008701,526,526
42101008702,253,253
42101008801,209,209
42101008802,360,360
42101009000,317,317
42101009100,370,370
42101009200,418,418
42101009300,608,608
42101009400,459,459
42101009500,499,499
42101009600,571,571
42101009801,320,320
42101009802,762,762
42101010000,420,420
42101010100,715,715
42101010200,408,408
42101010300,368,368
42101010400,638,638
42101010500,413,413
42101010600,320,320
42101010700,551,551
42101010800,465,465
42101010900,260,260
42101011000,754,754
42101011100,399,399
42101011200,701,701
42101011300,423,423
42101011400,882,882
42101011500,453,453
42101011700,166,166
42101011800,705,705
42101011900,532,532
42101012000,148,148
42101012100,322,322
42101012201,388,388
42101012203,140,140
42101012204,369,369
42101012500,358,358
42101013100,181,181
42101013200,334,334
42101013300,398,398
42101013401,83,83
42101013402,147,147
42101013500,445,445
42101013601,285,285
42101013602,398,398
42101013700,788,788
42101013800,216,216
42101013900,405,405
42101014000,327,327
42101014100,318,318
42101014200,254,254
42101014300,124,124
42101014400,535,535
42101014500,183,183
42101014600,339,339
42101014700,450,450
42101014800,248,248
42101014900,554,554
42101015101,377,377
42101015102,411,411
42101015200,942,942
42101015300,338,338
42101015600,383,383
42101015700,329,329
42101015800,192,192
42101016000,299,299
42101016100,585,585
42101016200,415,415
42101016300,482,482
42101016400,504,504
42101016500,508,508
42101016600,225,225
42101016701,494,494
42101016702,342,342
42101016800,531,531
42101016901,526,526
42101016902,945,945
42101017000,374,374
42101017100,430,430
42101017201,448,448
42101017202,375,375
42101017300,363,363
42101017400,350,350
42101017500,851,851
42101017601,782,782
42101017602,442,442
42101017701,634,634
42101017702,702,702
42101017800,686,686
42101017900,855,855
42101018001,118,118
42101018002,173,173
42101018300,38,38
42101018400,74,74
42101018800,903,903
42101019000,956,956
42101019100,808,808
42101019200,934,934
42101019501,621,621
42101019502,497,497
42101019700,878,878
42101019800,772,772
42101019900,563,563
42101020000,224,224
42101020101,533,533
42101020102,579,579
42101020200,761,761
42101020300,481,481
42101020400,484,484
42101020500,310,310
42101020600,189,189
42101020700,350,350
42101020800,210,210
42101020900,199,199
42101021000,346,346
42101021100,182,182
42101021200,223,223
42101021300,180,180
42101021400,296,296
42101021500,243,243
42101021600,134,134
42101021700,216,216
42101021800,412,412
42101021900,76,76
42101022000,221,221
42101023100,35,35
42101023500,161,161
42101023600,126,126
42101023700,594,594
42101023800,379,379
42101023900,167,167
42101024000,464,464
42101024100,297,297
42101024200,422,422
42101024300,421,421
42101024400,389,389
42101024500,440,440
42101024600,418,418
42101024700,629,629
42101024800,257,257
42101024900,601,601
42101025200,855,855
42101025300,507,507
42101025400,392,392
42101025500,298,298
42101025600,179,179
42101025700,493,493
42101025800,175,175
42101025900,621,621
42101026000,319,319
42101026100,418,418
42101026200,400,400
42101026301,519,519
42101026302,791,791
42101026400,760,760
42101026500,651,651
42101026600,720,720
42101026700,616,616
42101026800,491,491
42101026900,261,261
42101027000,373,373
42101027100,392,392
42101027200,415,415
42101027300,925,925
42101027401,465,465
42101027402,860,860
42101027500,665,665
42101027600,419,419
42101027700,755,755
42101027800,620,620
42101027901,499,499
42101027902,299,299
42101028000,459,459
42101028100,529,529
42101028200,666,666
42101028300,1044,1044
42101028400,721,721
42101028500,381,381
42101028600,930,930
42101028700,308,308
42101028800,457,457
42101028901,561,561
42101028902,943,943
42101029000,757,757
42101029100,557,557
42101029200,703,703
42101029300,471,471
42101029400,477,477
42101029800,588,588
42101029900,484,484
42101030000,915,915
42101030100,840,840
42101030200,708,708
42101030501,625,625
42101030502,558,558
42101030600,806,806
42101030700,343,343
42101030800,569,569
42101030900,494,494
42101031000,865,865
42101031101,604,604
42101031102,582,582
42101031200,482,482
42101031300,750,750
42101031401,798,798
42101031402,497,497
42101031501,259,259
42101031502,275,275
42101031600,634,634
42101031700,685,685
42101031800,497,497
42101031900,566,566
42101032000,484,484
42101032100,791,791
42101032300,263,263
42101032500,820,820
42101032600,705,705
42101032900,309,309
42101033000,571,571
42101033101,235,235
42101033102,158,158
42101033200,94,94
42101033300,274,274
42101033400,573,573
42101033500,412,412
42101033600,652,652
42101033701,589,589
42101033702,294,294
42101033800,544,544
42101033900,380,380
42101034000,241,241
42101034100,344,344
42101034200,229,229
42101034400,392,392
42101034501,299,299
42101034502,482,482
42101034600,258,258
42101034701,544,544
42101034702,297,297
42101034801,264,264
42101034802,397,397
42101034803,389,389
42101034900,683,683
42101035100,142,142
42101035200,200,200
42101035301,188,188
42101035302,230,230
42101035500,284,284
42101035601,269,269
42101035602,214,214
42101035701,469,469
42101035702,276,276
42101035800,701,701
42101035900,271,271
42101036000,306,306
42101036100,270,270
42101036201,279,279
42101036202,287,287
42101036203,224,224
42101036301,122,122
42101036302,410,410
42101036303,291,291
42101036400,107,107
42101036501,332,332
42101036502,292,292
42101036600,187,187
42101036700,157,157
42101036900,716,716
42101037200,332,332
42101037300,258,258
42101037500,396,396
42101037600,248,248
42101037700,750,750
42101037800,236,236
42101037900,156,156
42101038000,201,201
42101038100,97,97
42101038200,308,308
42101038300,431,431
42101038400,168,168
42101038500,127,127
42101038600,88,88
42101038700,169,169
42101038800,318,318
42101038900,382,382
42101039000,956,956
42101980000,281,281
42101980100,0,0
42101980200,69,69
42101980300,0,NA
42101980400,0,NA
42101980500,0,NA
42101980600,0,NA
42101980700,0,NA
42101980800,0,NA
42101980900,0,NA
42101989100,637,637
